school_id,name,minutes,half_width_m,pop_reachable,pop_straightline,pop_reach_ratio
genova_0000,Scuola Materna Statale,5,40.0,4467.1929580879205,9659.67486585617,0.4624579005115384
genova_0001,Asilo 'Delia Repetto',5,40.0,522.6748449772597,4235.701233745514,0.12339747686006472
genova_0002,Scuola Primaria Pietro Thouar,5,40.0,2323.557510032654,4105.332944927216,0.5659851566737784
genova_0003,Scuola dell'infanzia Tollot Orientale,5,40.0,1151.0710405409336,3023.747683608532,0.3806769482721021
genova_0004,Scuola Primaria A. De Scalzi-F.lli Polacco,5,40.0,1100.1229495596885,3287.2116067916154,0.33466751799207434
genova_0005,Asilo Nido La Filastrocca,5,40.0,1851.1781010475756,4905.024877031147,0.3774044265740878
genova_0006,Asilo nido 'Camelot',5,40.0,2502.477495556772,5740.27908405438,0.43595049280936055
genova_0007,Scuola dell'infanzia comunale Santa Sofia,5,40.0,4442.290525815487,7507.885080117807,0.5916833407026234
genova_0008,Asilo Il Castello,5,40.0,1106.6063406586647,4063.943236931711,0.2722986705626715
genova_0009,,5,40.0,382.9520946887135,2416.0188148742914,0.15850542732989395
genova_0010,Asilo Nido Comunale 'Arcobaleno',5,40.0,3871.441478805543,12059.091674995423,0.32103922775817295
genova_0011,Scuola Materna Paritaria 'Virgina Centurione Bracelli',5,40.0,1907.1482954788207,11807.426554219724,0.16152108054377406
genova_0012,Scuola Elementare di Stato A. Silvio Novaro,5,40.0,410.25648868083954,1455.3491339731215,0.28189558031400624
genova_0013,Scuola Elementare Statale Sacro Cuore,5,40.0,1095.5319546604155,3064.554756934196,0.35748486861967316
genova_0014,Scuola Comunale dell'infanzia Colombo,5,40.0,2195.914579124451,6354.7268493217225,0.34555609252643704
genova_0015,Scuola d'infanzia Statale Antonio Burlando,5,40.0,2666.1536662018298,5796.914658401245,0.45992632690182456
genova_0016,Scuola Primaria Statale Antonio Burlando,5,40.0,2666.1536662018298,5913.958863685364,0.45082384366474604
genova_0017,Scuola Primaria Statale 'Giovine Italia',5,40.0,1546.807461490631,7815.17003080368,0.1979237118826401
genova_0018,Scuola Elementare statale Carlo Palli,5,40.0,1280.7784800529482,4071.946802273989,0.314537134752766
genova_0019,Scuola Vespertina 'Rosanna Benzi',5,40.0,522.8175806558132,3850.09140252471,0.13579355033311
genova_0020,Scuola Elementare di Stato A. G. Brignole Sale,5,40.0,1858.0914400863649,3687.843224916458,0.5038423074854156
genova_0021,Scuola Infanzia Emanuele Luzzati,5,40.0,2023.5563816833496,10933.949252471924,0.18507095057404516
genova_0022,I.T.C. Eugenio Montale,5,40.0,2023.5563816833496,10991.011808433534,0.1841101089647316
genova_0023,Scuola Elementare Statale Gilberto Govi,5,40.0,1776.552638283968,3912.698062325716,0.4540479766097723
